idAtleta,nome,idade,peso,altura,genero,idEquipa,edicao,idContacto
1,Caria Macrow,27,123,153,Genderfluid,2,1,1
2,Rooney Diament,25,50,184,Male,10,1,2
3,Esme Davers,34,110,200,Male,8,1,3
4,Doralia Petford,31,90,141,Female,1,1,4
5,Nicolas Chateau,29,77,202,Polygender,10,1,5
6,Gretna Gronav,22,60,192,Bigender,2,1,6
7,Kathryne Jenney,24,116,185,Female,1,1,7
8,Rani Wrefford,32,87,169,Female,9,1,8
9,Cindee Houtbie,23,123,205,Female,10,1,9
10,Meggi Kingham,25,40,172,Female,9,1,10
11,Moises Ragbourne,22,42,164,Male,10,1,11
12,Byron Bestman,20,162,184,Male,8,1,12
13,Devin Cuttings,27,117,169,Female,6,1,13
14,Taddeusz Emblin,37,61,199,Male,10,1,14
15,Teena Ludwell,28,73,209,Female,1,1,15
16,Obadiah Dittson,39,121,200,Male,3,1,16
17,Faustine Bunner,19,96,195,Female,1,1,17
18,Anastassia Kerrod,37,162,180,Female,1,1,18
19,Loralie Flecknell,30,126,208,Female,5,1,19
20,Natalina Mouat,39,161,186,Female,4,1,20
21,Maxie Boards,38,76,172,Male,1,1,21
22,Conrado Herreros,40,72,199,Male,3,1,22
23,Shannan Marle,37,54,144,Male,7,1,23
24,Ivie Hestrop,30,158,202,Female,10,1,24
25,Daniella Pettingill,18,57,182,Female,2,1,25
26,Florina Hourstan,33,42,162,Female,8,1,26
27,Torre Gouinlock,19,73,146,Male,8,1,27
28,Kaylyn Jockle,28,64,169,Female,5,1,28
29,Sharron Stother,27,164,198,Female,6,1,29
30,Bartlett Bisterfeld,27,163,191,Male,2,1,30
31,Lewes Tison,27,75,194,Polygender,8,1,31
32,Puff Scraggs,31,45,200,Genderfluid,6,1,32
33,Mellicent Junifer,40,54,188,Female,1,1,33
34,Kirk Maffi,26,91,198,Male,8,1,34
35,Tony Gilbank,36,86,194,Female,9,1,35
36,Ricardo Connal,23,102,189,Non-binary,10,1,36
37,Laurie Swayne,26,51,158,Male,6,1,37
38,Cullin Dresse,19,63,189,Male,1,1,38
39,Amble Navarro,29,48,175,Male,3,1,39
40,Currey Fewlass,20,105,189,Male,4,1,40
41,Larry Semiraz,26,85,158,Male,4,1,41
42,Ebony Cricket,36,142,183,Female,7,1,42
43,L;urette Dobie,41,110,196,Female,2,1,43
44,Odele Shillingford,42,69,183,Female,8,1,44
45,Kerry Legier,34,71,165,Female,7,1,45
46,Quintin Godilington,41,42,198,Male,2,1,46
47,Virgil Absolem,33,136,181,Male,9,1,47
48,Roanna Broscombe,32,47,196,Female,4,1,48
49,Cal McVeighty,20,116,184,Male,9,1,49
50,Elva Skully,24,93,195,Female,7,1,50
